Project_ID,Category,Start_Date,Phase,Status,Risk_Level,Planned_Duration,Planned_Cost,Actual_Duration,Actual_Cost,Completion_Pct,Final_Actual_Duration,Final_Actual_Cost,Was_Delayed
NHS-104,Digital,2023-01-31,Build,At Risk,Low,463,2392134.77,277,1370754.55,52.6,433,2480027.43,0
NHS-105,Transformation,2023-02-11,Build,On Track,Medium,185,366473.27,111,222076.07,61.8,187,352098.02,0
NHS-106,Digital,2023-02-20,Testing,On Track,Low,398,1010096.38,238,618037.27,67.8,407,976530.83,0
NHS-107,Transformation,2023-02-22,Build,On Track,Medium,256,1509067.8,153,847050.38,57.4,247,1553503.36,0
NHS-108,Transformation,2023-02-24,Build,At Risk,Medium,236,1166323.83,141,694231.26,56.7,237,1115714.61,0
NHS-109,Estates,2023-03-01,Build,On Track,Low,952,25614971.28,571,14414533.37,57.7,969,26621774.09,0
NHS-110,Estates,2023-03-08,Build,Delayed,High,631,16503421.79,378,10578188.81,45.6,949,17551957.18,1
NHS-111,Estates,2023-03-09,Build,At Risk,Medium,372,28126059.72,223,17567155.36,51.7,430,35308572.83,1
NHS-112,Digital,2023-03-14,Build,At Risk,Medium,359,1449237.57,215,817058.25,55.3,338,1516177.52,0
NHS-113,Transformation,2023-03-22,Build,At Risk,High,558,1944326.25,334,1198103.87,53.2,643,2439963.56,1
NHS-114,Digital,2023-04-06,Build,At Risk,Low,503,2467834.06,301,1407808.53,52.6,478,2445635.6,0
NHS-115,Transformation,2023-04-13,Build,Delayed,Medium,592,303893.49,355,215005.32,47.4,774,362661.62,1
NHS-116,Digital,2023-04-14,Build,On Track,Low,460,2315510.72,276,1394286.04,64.6,430,2418671.33,0
NHS-117,Digital,2023-04-17,Build,Delayed,Medium,350,747362.23,210,487715.49,42.1,406,814929.46,1
NHS-118,Transformation,2023-04-18,Testing,On Track,Medium,706,171083.86,423,99045.78,65.4,730,167506.8,0
NHS-119,Digital,2023-04-24,Build,At Risk,Low,217,1751147.15,130,1117937.56,51.4,240,1867564.28,1
NHS-120,Digital,2023-04-27,Build,Delayed,High,300,1896844.3,180,1279583.43,44.7,446,2249978.03,1
NHS-121,Estates,2023-05-10,Testing,On Track,High,513,1158720.16,307,689780.48,70.0,492,1119391.84,0
NHS-122,Transformation,2023-05-14,Build,At Risk,Low,549,1690103.5,329,1039048.51,51.4,655,1847125.21,1
NHS-123,Digital,2023-05-15,Build,On Track,High,517,2959739.08,310,1714210.15,62.2,511,2977727.6,0
NHS-124,Digital,2023-05-19,Build,On Track,Medium,192,1656644.19,115,999039.92,60.4,181,1733106.54,0
NHS-125,Digital,2023-05-20,Build,On Track,Low,411,1365534.79,246,845320.06,63.1,386,1412451.15,0
NHS-126,Transformation,2023-05-24,Build,On Track,Medium,533,1731336.05,319,1055907.65,62.5,503,1722746.19,0
NHS-127,Digital,2023-05-25,Build,On Track,Low,301,2504756.49,180,1486748.7,58.4,307,2402751.8,0
NHS-128,Transformation,2023-05-27,Build,At Risk,Low,387,320127.78,232,206186.77,48.3,449,366279.96,1
NHS-129,Transformation,2023-05-28,Build,On Track,Low,534,1718272.15,320,1037377.86,62.4,554,1658235.42,0
NHS-130,Transformation,2023-06-07,Build,Delayed,High,595,1387646.37,357,884487.7,43.0,762,1637082.29,1
NHS-131,Estates,2023-06-11,Build,Delayed,Low,616,11595975.43,369,7803115.84,44.8,764,13638195.21,1
NHS-132,Estates,2023-07-01,Build,Delayed,Low,447,18942728.57,268,11846855.77,40.5,522,21845556.3,1
NHS-133,Transformation,2023-07-12,Build,At Risk,High,504,1961959.23,302,1173290.75,55.5,505,2026624.5,0
NHS-134,Transformation,2023-07-20,Build,Delayed,High,667,1671629.51,400,1042241.88,45.7,834,2235852.53,1
NHS-135,Transformation,2023-07-29,Build,At Risk,Low,182,1907269.85,109,1138306.38,54.0,182,1814252.82,0
NHS-136,Digital,2023-08-10,Build,At Risk,Medium,298,2671911.58,178,1757922.43,55.3,342,3024681.16,1
NHS-137,Transformation,2023-08-17,Build,On Track,High,269,1872744.12,161,1058481.54,63.3,274,1928330.37,0
NHS-138,Estates,2023-08-20,Build,At Risk,Medium,681,1404152.34,408,830440.66,53.8,685,1415542.35,0
NHS-139,Transformation,2023-08-24,Build,On Track,Low,703,989639.67,421,604214.59,64.0,723,1019598.1,0
NHS-140,Digital,2023-09-04,Build,Delayed,High,259,2445767.4,155,1508243.74,39.9,293,3063547.92,1
NHS-141,Estates,2023-09-07,Build,On Track,Low,695,25143349.26,417,15168649.52,62.0,696,26380507.66,0
NHS-142,Estates,2023-09-13,Build,On Track,High,591,26753702.16,354,16645480.69,61.5,608,27882434.18,0
NHS-143,Digital,2023-09-19,Build,At Risk,Low,215,2327907.27,129,1366762.55,54.9,220,2334299.16,0
NHS-144,Digital,2023-09-21,Build,On Track,Medium,420,1408253.21,252,816408.5,61.3,411,1417820.07,0
NHS-145,Transformation,2023-09-25,Build,At Risk,Low,524,875089.71,314,522677.12,56.9,509,911432.07,0
NHS-146,Digital,2023-09-29,Testing,On Track,Low,387,1359004.89,232,841702.14,66.3,360,1416757.5,0
NHS-147,Digital,2023-10-04,Build,On Track,High,257,631992.75,154,379412.45,63.8,250,648402.0,0
NHS-148,Digital,2023-10-07,Build,On Track,Low,440,1710676.82,264,1050754.2,63.2,433,1780737.97,0
NHS-149,Transformation,2023-10-07,Build,On Track,Low,699,263366.47,419,164173.6,62.7,660,267410.19,0
NHS-150,Estates,2023-10-27,Testing,On Track,Low,736,18872960.13,441,10645360.85,65.7,699,19778913.51,0
NHS-151,Digital,2023-10-29,Build,On Track,Low,365,1089379.78,219,619772.33,62.3,368,1112048.81,0
NHS-152,Digital,2023-10-30,Build,On Track,Low,323,561284.16,193,325019.64,64.5,326,559100.73,0
NHS-153,Transformation,2023-11-02,Testing,On Track,Medium,246,447336.66,147,256364.44,65.3,248,432524.14,0
NHS-154,Digital,2023-11-10,Build,On Track,Medium,214,1784161.32,128,1088285.82,64.5,211,1771925.22,0
NHS-155,Digital,2023-11-10,Testing,On Track,High,211,1852547.07,126,1053619.6,69.2,214,1918403.55,0
NHS-156,Transformation,2023-11-24,Build,On Track,High,260,1119327.06,156,668486.74,57.4,266,1105275.46,0
NHS-157,Transformation,2023-12-07,Build,At Risk,Low,277,785441.5,166,496177.12,55.3,414,1043773.2,1
NHS-158,Transformation,2023-12-08,Build,On Track,Medium,242,700265.2,145,425262.73,63.7,232,730853.7,0
NHS-159,Digital,2023-12-14,Build,On Track,Low,478,792962.06,286,490930.37,61.5,546,1029404.61,1
NHS-160,Digital,2023-12-17,Build,On Track,Low,299,2280137.67,179,1343431.34,62.3,294,2307435.34,0
NHS-161,Transformation,2023-12-25,Build,At Risk,Medium,197,280878.27,118,183351.32,56.8,217,351569.52,1
NHS-162,Transformation,2023-12-28,Build,On Track,Low,648,1524440.93,388,872362.9,62.7,640,1567013.98,0
NHS-163,Digital,2023-12-30,Build,On Track,High,494,533069.27,296,346731.35,57.2,657,589666.13,1
NHS-164,Digital,2024-01-04,Testing,On Track,Low,336,2120081.37,201,1228951.47,68.9,332,2193979.03,0
NHS-165,Digital,2024-01-07,Build,Delayed,Medium,377,2730931.73,226,1861355.04,46.6,513,3648373.26,1
NHS-166,Transformation,2024-01-12,Build,Delayed,Medium,291,511582.49,174,327322.79,46.6,390,632601.73,1
NHS-167,Digital,2024-01-15,Build,At Risk,High,466,276109.97,279,163757.08,52.7,457,274716.51,0
NHS-168,Digital,2024-02-03,Build,On Track,Low,279,2589528.61,167,1558084.38,62.6,276,2663044.86,0
NHS-169,Digital,2024-02-17,Testing,On Track,Low,396,913239.38,237,560619.66,73.7,385,870784.42,0
NHS-170,Digital,2024-03-02,Build,Delayed,High,276,2288839.98,165,1432888.52,47.8,405,2616373.91,1
NHS-171,Digital,2024-03-05,Build,On Track,High,255,1107022.67,153,689221.08,59.8,251,1106322.16,0
NHS-172,Digital,2024-03-09,Build,At Risk,High,189,1935071.87,113,1331156.93,49.1,228,2545499.42,1
NHS-173,Estates,2024-03-21,Build,On Track,Low,490,8979423.24,294,5130541.44,63.3,484,9160260.84,0
NHS-174,Transformation,2024-03-27,Build,On Track,Medium,199,1910652.81,119,1084005.38,59.4,188,1946484.03,0
NHS-175,Digital,2024-03-29,Build,At Risk,High,425,2605152.01,255,1604701.05,54.6,412,2609585.84,0
NHS-176,Digital,2024-04-06,Build,On Track,Medium,185,1048300.96,111,619402.78,59.1,185,1086791.67,0
NHS-177,Digital,2024-04-09,Build,At Risk,Medium,262,878951.99,157,616423.9,51.7,288,1044397.9,1
NHS-178,Digital,2024-04-15,Testing,On Track,High,436,2541652.01,261,1441994.4,67.3,426,2514347.74,0
NHS-179,Digital,2024-04-16,Build,At Risk,Medium,343,2193369.87,205,1524500.9,53.8,375,2563897.75,1
NHS-180,Digital,2024-05-14,Build,On Track,Medium,319,1955109.95,191,1375968.22,62.6,367,2168803.65,1
NHS-181,Digital,2024-05-19,Build,On Track,Medium,451,522914.03,270,320079.54,61.8,445,548885.97,0
NHS-182,Transformation,2024-05-19,Build,At Risk,Low,266,863157.1,159,513373.15,54.9,256,834655.65,0
NHS-183,Transformation,2024-05-25,Build,At Risk,Low,329,785540.07,197,477307.91,53.6,317,767692.94,0
NHS-184,Digital,2024-06-02,Build,Delayed,High,293,269504.77,175,165126.16,41.3,354,339821.27,1
NHS-185,Digital,2024-06-05,Build,On Track,Medium,512,2980636.83,307,1768677.78,62.2,511,2913032.17,0
NHS-186,Digital,2024-06-22,Build,On Track,Medium,448,2858021.86,268,1627873.55,59.1,456,2790775.96,0
NHS-187,Digital,2024-06-23,Build,On Track,High,194,2433030.34,116,1420267.18,57.5,201,2358236.75,0
NHS-188,Transformation,2024-07-25,Build,On Track,High,455,1549736.66,273,872747.07,64.0,465,1567377.05,0
NHS-189,Transformation,2024-08-11,Build,At Risk,Medium,265,1065870.2,159,680766.24,50.4,324,1255990.5,1
NHS-190,Transformation,2024-08-13,Build,At Risk,Low,283,190010.64,169,116857.15,54.7,320,234861.66,1
NHS-191,Digital,2024-08-21,Build,On Track,Medium,469,2403388.26,281,1431306.44,60.1,443,2310744.87,0
NHS-192,Transformation,2024-08-25,Build,On Track,Medium,426,1960526.8,255,1135268.03,62.5,424,1976404.99,0
NHS-193,Digital,2024-08-31,Build,On Track,Medium,317,1740671.14,190,1057226.81,63.3,323,1731661.53,0
NHS-194,Digital,2024-09-14,Build,On Track,Low,382,630085.13,229,373928.08,63.0,381,611300.23,0
NHS-195,Digital,2024-10-19,Build,At Risk,Low,284,2615740.78,170,1534047.17,55.7,288,2704990.82,0
NHS-196,Digital,2024-10-26,Testing,On Track,Medium,183,2704632.19,109,1594169.87,68.1,189,2585489.55,0
NHS-197,Transformation,2024-11-29,Testing,On Track,High,312,1621831.32,187,909279.71,67.3,297,1561000.27,0
NHS-198,Digital,2025-01-12,Build,On Track,Low,191,2527115.48,114,1461889.21,57.6,193,2646351.47,0
NHS-199,Digital,2025-01-28,Build,On Track,Medium,181,314651.49,108,195883.93,63.0,176,323892.24,0
NHS-200,Digital,2025-03-21,Build,On Track,Medium,197,512481.03,118,296181.61,58.4,191,508207.43,0
